Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
RESIDENCEAREATYPE,CITY,Cities,,,
RESIDENCEAREATYPE,RUR,Rural,,,
RESIDENCEAREATYPE,TOTL,Total,,,
RESIDENCEAREATYPE,TOWN,Towns,,,
RESIDENCEAREATYPE,URB,Urban,,,
